NOME_ATIVO,DATA_NEGOCIACAO,ANO,MES,DIA,ANOMES,VALOR_ABERTURA,VALOR_MAIOR_NEGOCIACAO,VALOR_MENOR_NEGOCIACAO,VALOR_FECHAMENTO,VALOR_FECHAMENTO_AJUSTADO,VOLUME_NEGOCIADO,DATA_EXTRACAO
VALE3.SA,2020-11-12,2020,11,12,2020-11,63.56999969482422,63.77000045776367,62.459999084472656,62.66999816894531,46.170143127441406,23726500,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-13,2020,11,13,2020-11,62.72999954223633,63.54999923706055,62.61000061035156,63.25,46.59743881225586,25079300,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-16,2020,11,16,2020-11,63.5,65.33999633789062,62.970001220703125,64.91999816894531,47.827762603759766,91477900,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-17,2020,11,17,2020-11,64.80000305175781,68.0999984741211,64.80000305175781,66.97000122070312,49.33803939819336,62475900,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-18,2020,11,18,2020-11,66.98999786376953,67.38999938964844,66.06999969482422,66.44999694824219,48.95494079589844,22854400,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-19,2020,11,19,2020-11,66.70999908447266,67.72000122070312,66.47000122070312,67.72000122070312,49.89057159423828,25928500,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-23,2020,11,23,2020-11,68.80999755859375,71.31999969482422,68.5,71.29000091552734,52.52066421508789,38662400,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-24,2020,11,24,2020-11,71.05000305175781,74.88999938964844,70.18000030517578,74.80000305175781,55.10654067993164,49842200,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-25,2020,11,25,2020-11,73.80000305175781,75.9000015258789,73.61000061035156,75.5,55.62224578857422,36269100,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-26,2020,11,26,2020-11,75.41999816894531,76.5999984741211,75.4000015258789,76.56999969482422,56.41053009033203,20359000,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-27,2020,11,27,2020-11,77.0,78.77999877929688,76.7699966430664,78.44000244140625,57.7881965637207,48966700,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-30,2020,11,30,2020-11,78.8499984741211,79.36000061035156,77.12000274658203,78.0,57.46404266357422,48594200,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-01,2020,12,01,2020-12,79.83000183105469,81.5,79.25,81.25,59.85836791992188,61441200,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-02,2020,12,02,2020-12,80.9000015258789,81.25,77.30999755859375,79.83999633789062,58.81959915161133,53703300,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-03,2020,12,03,2020-12,81.0,81.05000305175781,78.61000061035156,78.95999908447266,58.17128372192383,35158600,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-04,2020,12,04,2020-12,80.0999984741211,82.68000030517578,80.0999984741211,81.9800033569336,60.39619064331055,48656900,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-07,2020,12,07,2020-12,82.41999816894531,82.98999786376953,81.66999816894531,82.94999694824219,61.11079025268555,27398500,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-08,2020,12,08,2020-12,82.97000122070312,83.30000305175781,81.66000366210938,82.9000015258789,61.0739631652832,28598800,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-09,2020,12,09,2020-12,83.0999984741211,83.83000183105469,82.22000122070312,82.69999694824219,60.9266242980957,26938500,2023-09-07 01:29:18.064408
